name,phone,demo_link,message,whatsapp_link,status
Trippy Goat Cafe,+919731655707,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=trippy-goat-cafe&location=bangalore,"Hi,

I noticed Trippy Goat Cafe doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=trippy-goat-cafe&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+919731655707?text=Hi%2C%0A%0AI%20noticed%20Trippy%20Goat%20Cafe%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dtrippy-goat-cafe%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
The Studio Cafe,+917892512445,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=the-studio-cafe&location=bangalore,"Hi,

I noticed The Studio Cafe doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=the-studio-cafe&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+917892512445?text=Hi%2C%0A%0AI%20noticed%20The%20Studio%20Cafe%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dthe-studio-cafe%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Makkah Cafe,+917019579745,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=makkah-cafe&location=bangalore,"Hi,

I noticed Makkah Cafe doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=makkah-cafe&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+917019579745?text=Hi%2C%0A%0AI%20noticed%20Makkah%20Cafe%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dmakkah-cafe%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Burnout Cafe,+918088682319,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=burnout-cafe&location=bangalore,"Hi,

I noticed Burnout Cafe doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=burnout-cafe&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+918088682319?text=Hi%2C%0A%0AI%20noticed%20Burnout%20Cafe%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dburnout-cafe%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Cafe Down The Alley,+917406048982,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-down-the-alley&location=bangalore,"Hi,

I noticed Cafe Down The Alley doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-down-the-alley&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+917406048982?text=Hi%2C%0A%0AI%20noticed%20Cafe%20Down%20The%20Alley%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dcafe-down-the-alley%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Brahmins' Coffee Bar,+919845030234,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=brahmins-coffee-bar&location=bangalore,"Hi,

I noticed Brahmins' Coffee Bar doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=brahmins-coffee-bar&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+919845030234?text=Hi%2C%0A%0AI%20noticed%20Brahmins%27%20Coffee%20Bar%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dbrahmins-coffee-bar%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Cafe Hustle,+919686855008,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-hustle&location=bangalore,"Hi,

I noticed Cafe Hustle doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-hustle&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+919686855008?text=Hi%2C%0A%0AI%20noticed%20Cafe%20Hustle%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dcafe-hustle%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Top Ace Cafe,+918147494747,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=top-ace-cafe&location=bangalore,"Hi,

I noticed Top Ace Cafe doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=top-ace-cafe&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+918147494747?text=Hi%2C%0A%0AI%20noticed%20Top%20Ace%20Cafe%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dtop-ace-cafe%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Cafe Noir Indiranagar,+919620007974,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-noir-indiranagar&location=bangalore,"Hi,

I noticed Cafe Noir Indiranagar doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-noir-indiranagar&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+919620007974?text=Hi%2C%0A%0AI%20noticed%20Cafe%20Noir%20Indiranagar%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dcafe-noir-indiranagar%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
The Cafe At Saanchi - Authentic Persian Cuisine & Silk Route Aroma - Dining Experience,+916366204909,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=the-cafe-at-saanchi---authentic-persian-cuisine-&-silk-route-aroma---dining-experience&location=bangalore,"Hi,

I noticed The Cafe At Saanchi - Authentic Persian Cuisine & Silk Route Aroma - Dining Experience doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=the-cafe-at-saanchi---authentic-persian-cuisine-&-silk-route-aroma---dining-experience&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+916366204909?text=Hi%2C%0A%0AI%20noticed%20The%20Cafe%20At%20Saanchi%20-%20Authentic%20Persian%20Cuisine%20%26%20Silk%20Route%20Aroma%20-%20Dining%20Experience%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dthe-cafe-at-saanchi---authentic-persian-cuisine-%26-silk-route-aroma---dining-experience%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
