name,phone,address,city,business_type,contacted
Bombay Cafe Dosa Dhaba,7063652233,"
Gate Bazar, New Settlement, Kharagpur, West Bengal 721301",kharagpur,cafe,0
Bittersweet Cafe,7718639122,"
2nd Floor, Atwals, Real-Estate, above Bajaj Finserv office, near HP Petrol Pump, Inda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
KAFFERINE cafe & restaurant,8918735254,"
IIT Main Rd, opposite to Computer City, near Puri Gate, Kharagpur, West Bengal 721302",kharagpur,cafe,0
Dreams cafe,8443938641,"
SH 5, IIT Kharagpur, Rabindrapally, Kharagpur, West Bengal 721302",kharagpur,cafe,0
Scrummys Kharagpur,9635844303,"
Kharagpur City Rd, near Allahabad bank, Inda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
Sadda Adda Cafe,9933764619,"
Puri Gate, Near, IIT Main Rd, Kharagpur, West Bengal 721302",kharagpur,cafe,0
Evening Cafe,8918731896,"
Malancha Main Rd, beside Zudio, Kharagpur, West Bengal 721304",kharagpur,cafe,0
Indie - Taste the Soul Food,8617370673,"
Inda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
Tea Club & Restaurant,9609080909,"
O T Rd, opposite indusland bank, Inda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
PEYALA CAFE,7001157571,"
near RELIANCE SMART POINT, Kaushallya, Kharagpur, West Bengal 721301",kharagpur,cafe,0
"OAISIS RESTAURANT CUM BAR – BEST FAMILY RESTAURANT & BAR IN KHARAGPUR | MULTI-CUISINE AC DINING, COCKTAILS & FL OFF SHOP",9046464848,"
N.H-6, Daulatpur, Kharagpur, West Bengal 721301",kharagpur,cafe,0
The Sandwich Wallah,7908613047,"
Vidhyasagarpur Rd Road, near Classic Tower, Inda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
Aami Bangali Restaurant Kharagpur,8016679931,"
Kharagpur City Rd, Ananda Nagar Colony, Inda, Rui Sanda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
ChinaTown - flavour of china town // chinese restaurant in kharagpur,9832858726,"
Besides Dandopat medical, SUB DIVISION HOSPITAL, IIT FLYOVER, opposite to KHARAGPUR, Chota Tengra, Kharagpur, West Bengal 721301",kharagpur,cafe,0
The Curry Room,8597776744,"
Jhapatapur, South Side, Kharagpur, West Bengal 721301",kharagpur,cafe,0
Pizzawich,7319529361,"
Jhapetapur, Kharagpur, West Bengal 721301",kharagpur,cafe,0
Banana Leaf Bistro,8167467667,"
Indian Institute of Technology, Kharagpur, Beside Gnan Ghosh Stadium, 2.2 Lane, Campus, near Cafe Coffe Day, Kharagpur, West Bengal 721302",kharagpur,cafe,0
Chixter,8116703938,"
Chota Tengra, Kharagpur, West Bengal 721301",kharagpur,cafe,0
Hangout,8918567772,"
Qed mall, supermarket, Malancha Main Rd, opposite Indian oil petrol pump, Kharagpur, West Bengal 721304",kharagpur,cafe,0
Dreamz Restro - Jeena hai toh khana hai,7001991188,"
Kamala Cabin, Suchana Guest House Top Floor Roof Top, Kharagpur City Rd, Inda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
TEA TIME,7842424646,"
16, Malancha Main Rd, Malancha, Kharagpur, West Bengal 721301",kharagpur,cafe,0
KGP Express Restaurant,9242725050,"
Malancha Main Rd, opposite USHA MEDICAL, Nimpura, Kharagpur, West Bengal 721304",kharagpur,cafe,0
Hunger's Den,9735189698,"
Vidyasagarpur, Kharagpur, West Bengal 721305",kharagpur,cafe,0
The Prince Restaurant,8967622062,"
SH 5, Prembazar, Kharagpur, West Bengal 721306",kharagpur,cafe,0
"Kathi Junction, kharagpur",9932623194,"
Kaushallya, Kharagpur, West Bengal 721301",kharagpur,cafe,0
Taste Elements,9604282642,"
Ward no. 34, Hijli Cooperative, Prem Bazar society, Po, Kharagpur, West Bengal 721306",kharagpur,cafe,0
SOYA CHAAP ADDA,8597517886,"
near Amit Medical, Kharida, Kharagpur, West Bengal 721301",kharagpur,cafe,0
Tikka and Talk Multi Cuisine Restaurant,9775952401,"
Kharagpur City Rd, above Time for Tea, Inda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
Vyas's Magic,9382037066,"
Flat No- 303, Galaxy Grand Apartment, Taljhuli, Chota Tengra, Kharagpur, West Bengal 721301",kharagpur,cafe,0
New Taaz Biryani,9434128825,"
Bus Stand, Plot 941, New, Kharagpur, West Bengal 721301",kharagpur,cafe,0
Instahut,8250743708,"
NORTH, near Bangabani Club, Talbagicha, Kharagpur, West Bengal 721306",kharagpur,cafe,0
Khai Khai Restaurant,9851333279,"
Fire brigade road, opposite of Bhandari showroom and bulbulchoti goli, Kaushallya, Kharagpur, West Bengal 721301",kharagpur,cafe,0
NEW MURGAN VILAS Restaurant,9434803997,"
Gate Bazar, New Settlement, Kharagpur, West Bengal 721301",kharagpur,cafe,0
KHARAGPUR SOCIAL CAFE AND RESTAURANT,9564441713,"
IIT Main Rd, near HANUMAN MANDIR, Kharagpur, West Bengal 721302",kharagpur,cafe,0
Hotel Capsicum | Family Restaurant cum Bar in Kharagpur | Multicuisine Restaurant cum Hotel,7602259263,"
Sahachowk, Nh-6, near Saha chowk, Kharagpur, West Bengal 721301",kharagpur,cafe,0
Bas Yummy Treats,7001593769,"
Lic near Hero Showroom, near Adams Building, opposite Kharagpur Town, Newtown, Inda, Rui Sanda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
Swadesh Da's Canteen,8116477829,"
BC Roy Hall, IIT Kharagpur, Kharagpur, West Bengal 721302",kharagpur,cafe,0
The Fruity Stop,6294639016,"
O T Rd, opposite Suswastho Medical, Inda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
Peep Kitchen - Family Restaurant in Kharagpur,7363979879,"
Shop No. W 13, Tech Market, IIT Kharagpur, Kharagpur, West Bengal 721302",kharagpur,cafe,0
Flames & Flavours,7602361666,"
Inda, Kharagpur, West Bengal 721305",kharagpur,cafe,0
Dreamland Restaurant,3222201549,"
IIT Campus, 1BR -19, IIT Kharagpur, Kharagpur, West Bengal 721302",kharagpur,cafe,0
Chai & Fries,6294075095,"
Ward No:6, behind Daulatpur Road, near Subhash Sangha Club, Bhawanipur, Kharagpur, West Bengal 721301",kharagpur,cafe,0
BILLOO'S Restaurant,7384987643,"
IIT Kharagpur, Kharagpur, West Bengal 721302",kharagpur,cafe,0
Resort Paradise,9564818999,"
Kharagpur City Rd, beside nexa showroom, chowranghee, Inda, Kharagpur, Rui Sanda, West Bengal 721305",kharagpur,cafe,0
SRC MOMOMIA,8536864065,"
87VG+G3H, Malancha, Kharagpur, West Bengal 721301",kharagpur,cafe,0
LOGINN Cyber Cafe,9732667768,"
Kharagpur City Rd, Barabetia, Kharagpur Railway Settlement, West Bengal 721301",kharagpur,cafe,0
SONI NET SERVICES,9851209767,"
Malancha Main Rd, Kharagpur, West Bengal 721301",kharagpur,cafe,0
JD's Saffron restaurant,7900137391,"
Jagdamba complex, below V mart, Malancha, Kharagpur, West Bengal 721301",kharagpur,cafe,0
PFC RESTAURANT,9093888281,"
Shop No. Oval 3, Pan Loop, inside IIT Kharagpur Campus, near Patel Hall of Residence, IIT Kharagpur, Kharagpur, West Bengal 721302",kharagpur,cafe,0
Pandit Hotel,9563779346,"
Gole Bazar, Kharagpur, West Bengal 721301",kharagpur,cafe,0
Appayan Restaurant,9434205563,"
87VG+FV4, Malancha Main Rd, Malancha, Kharagpur, West Bengal 721304",kharagpur,cafe,0
JD's Saffron Restaurant,7900137391,"
Shop number 74, behind bata showroom, Old Settlement, Kharagpur, Gole Bazar, Kharagpur, West Bengal 721301",kharagpur,cafe,0
3G Cyber Cafe (Jumbo Print | XEROX | A0 to A4 Laser Prints),9434100767,"
Puratan Bazar, Kharagpur, West Bengal 721301",kharagpur,cafe,0
Hotel Shaan- Best Hotel & Lounge in Kharagpur,8695588887,"
584/5, opposite to New Cosmo City, near Reshmi Metallics, Malancha, Kharagpur, West Bengal 721301",kharagpur,cafe,0
C4U family restaurant and cafe,9002824482,"
88F6+PCQ, Hijli Station Rd, IIT Kharagpur, Kharagpur, West Bengal 721302",kharagpur,cafe,0
VINTAGE CAFE - KHARAGPUR,7679282131,"
Puri Gate, near hanuman mandir, Kharagpur, West Bengal 721302",kharagpur,cafe,0
