name,category,phone,address,rating,website,google_maps_url,contacted
The Bikers Cafe,cafe,+919674565455,"
Platinum mall, 31, Elgin Rd, Bhowanipore, Kolkata, West Bengal 700020",,None,"https://www.google.com/maps/place/The+Bikers+Cafe/@22.537759,88.2769597,13z/data=!3m1!5s0x3a02773dc5a4ed21:0x845bd5c9b84db137!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a02773dc59ba813:0x37f8f97ce394260e!8m2!3d22.537759!4d88.3490575!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11bbrkxvgr?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Motherland Cafe,cafe,+919748077790,"
Block-D, A/3 Dr. Md. Ishaque Road (Formerly Kyd Street Chowringhee Mansion, Dr Md Ishaque Rd, Kolkata, West Bengal 700016",,None,"https://www.google.com/maps/place/Motherland+Cafe/@22.537759,88.2769597,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0277565b2431d1:0x6fe7aa74e956a4f1!8m2!3d22.5556826!4d88.3508202!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11pb1c_qmq?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Café By The Lane,cafe,+919836353876,"
7 Lake Terrace Road Ballygunj, landmark, opposite Sai Baba Mandir, Kolkata, West Bengal 700029",,None,"https://www.google.com/maps/place/Caf%C3%A9+By+The+Lane/@22.5162174,88.2813862,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a027110bb6d7451:0x37b49b77fab7ee17!8m2!3d22.5162174!4d88.353484!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11gm8stcqv?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",0
Art Cafe,cafe,+919830302247,"
19C, Dr.Sarat Banerjee Rd, Lake Market, Kalighat, Kolkata, West Bengal 700029",,None,"https://www.google.com/maps/place/Art+Cafe/@22.5162174,88.2813862,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0271f05cd94dd7:0xea71e289f65deb26!8m2!3d22.5145652!4d88.3519511!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11l30fm8z3?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Wise Owl The Coffee Shop,cafe,+917044350606,"
66/2 B, Purna Das Rd, near Azad Hind Dhaba, Golpark, Hindustan Park, Gariahat, Kolkata, West Bengal 700029",,"Social only: 
facebook.com","https://www.google.com/maps/place/Wise+Owl+The+Coffee+Shop/@22.5162174,88.2813862,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a02772adb4b8b47:0x5964bbac9a97fec3!8m2!3d22.5171652!4d88.3610081!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11_tr000m?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Abar Baithak The coffee shop,cafe,+913340036777,"
282, Jodhpur Park Rd, Selimpur, Jodhpur Park, Kolkata, West Bengal 700068",,None,"https://www.google.com/maps/place/Abar+Baithak+The+coffee+shop/@22.5162174,88.2813862,13z/data=!3m1!5s0x3a02712807a25c4f:0x96d46e9a2608a3de!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0270c96074f909:0x17fa0b272f423d4f!8m2!3d22.5044369!4d88.3632908!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F1ptwh7wv7?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
The Tavern Cafe,cafe,+916289949583,"
188/104, Prince Anwar Shah Road, from Lords Crossing, 2nd right lane, near Bandhan Bank, West Bengal 700045",,None,"https://www.google.com/maps/place/The+Tavern+Cafe/@22.5028676,88.2863831,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0271fb74eccbf9:0x8cd2ce5afeaf53d3!8m2!3d22.5028676!4d88.3584809!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11gyyxk97g?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Uns Cafe,cafe,+919123828478,"
37/1, Purna Das Rd, Triangular Park, lake Terrace, Kalighat, Kolkata, West Bengal 700029",,"Social only: 
zomato.com","https://www.google.com/maps/place/Uns+Cafe/@22.5028676,88.2863831,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a02776c7fd4ab2b:0xe4338d1189f1b221!8m2!3d22.5177396!4d88.3588151!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11p55_sl2x?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Café Montage,cafe,,"
A-14 Baghajatin Park, beside PEERLESS HOSPITAL, Krishak Pally, Pancha Sayar, Kolkata, West Bengal 700094",,None,"https://www.google.com/maps/place/Caf%C3%A9+Montage/@22.5028676,88.2863831,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0271ed39398995:0xacd5e2a86469f645!8m2!3d22.4808741!4d88.3928481!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11fn4dxn0l?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",0
Kolkata Noy,cafe,+919830075717,"
292, Acharya Prafulla Chandra Rd Kolkata, Yogi Para, Garpar, Machuabazar, Science College Landmark:, Raja Bazar, Kolkata, West Bengal 700009",,None,"https://www.google.com/maps/place/Kolkata+Noy/@22.5809132,88.3022431,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a02773cbbd9ef69:0xc31784ba2b2f93e1!8m2!3d22.5809132!4d88.3743409!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEIYXJ0X2NhZmXgAQA!16s%2Fg%2F11l66nqfyh?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
