name,phone,address,city,business_type,contacted
Strength Gym - Khar,9867911577,"
Ramee Constructions Ramee Tecttonic, Plot No-786, Rd No. 3, Govind Dham, Khar West, Mumbai, Maharashtra 400052",mumbai,gym,0
I Think Fitness,7718033300,"
4th Floor, St. Paul Media Complex, 24th, Turner Rd, opp. Duruelo Convent High School, Bandra West, Mumbai, Maharashtra 400050",mumbai,gym,0
Mumbai Fitness Club,9769000705,"
Ground Floor, Abhilasha Shramik Co-operative Housing Society, near Kingstone Tower, Cotton Green Zakaria B, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400033",mumbai,gym,0
Fitness Heroes The Gym,9867719359,"
22 H G Nesbit Compound, Nesbit Rd, next to MCdonald, opp. SBI Bank, Tarwadi, Hathibaug, Mazgaon, Mumbai, Maharashtra 400010",mumbai,gym,0
Xff Gym,8433605511,"
Maulana Azad Rd, Two Tanks, Nagpada, Mumbai, Maharashtra 400008",mumbai,gym,0
I5 Fitness Gym In Andheri East,9769155315,"
3rd Floor, T5, PINNACLE BUSINESS PARK, Mahakali Caves Rd, Shanti Nagar, Andheri East, Mumbai, Maharashtra 400093",mumbai,gym,0
Beast Gym Unisex,7977773427,"
3rd Floor, Shop no 15, Gillbert compound, durga mata mandir, Khairani Rd, near Chandivali, MHADA Colony, gully, Mumbai, Maharashtra 400072",mumbai,gym,0
Ultimate Fitness Gym,7977271602,"
S.R.A, Bindra Complex, A/14 Ground Floor Sai Ganesh society, Mahakali Caves Rd, behind Ginger Hotel, Andheri East, Mumbai, Maharashtra 400093",mumbai,gym,0
Goodlife Fitness,7208686233,"
Shop no 7, C Wing, Atul, Military Rd, Sankara Nagar, Marol, Andheri East, Mumbai, Maharashtra 400059",mumbai,gym,0
Fitness Factory Andheribest Gym In Andheri,9619615000,"
4th Floor, Idea Square, above Kalyan Jewellers, opp. Citi Mall, Lokhandwala Complex, Andheri West, Andheri, Mumbai, Maharashtra 400053",mumbai,gym,0
Tarun Fitness Gym,8898773693,"
Bridge, Datta Mandir Rd, near Tarun Mitra Mandal/ Lal Maidan, Dmello Compound, Vakola, Santacruz East, Mumbai, Maharashtra 400055",mumbai,gym,0
Power Junction Gym Flex Iron Gym,9321132125,"
1st Floor Aashirwaad Bungalow, Mehul Talkies Circle. Opp Yes Bank, above Sbi Bank, Mulund West, Mumbai, Maharashtra 400080",mumbai,gym,0
Fitness & Conditioning Club Fc2 Gym,9930556987,"
Shop no - 02, Gamdevi Rd, Gamdevi, Mumbai, Maharashtra 400007",mumbai,gym,0
Gym Mantra Fitness Studio,9179797197,"
Shopno.2,plot no.2, 589, Raj Rajeshwari Society, Landmark - Bisleri company, bldg Road, opp. Akashdyam Building, Narayan Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",mumbai,gym,0
Hercules Gym,9930995980,"
Hercules Gym,Panchganga society, Delisel Road, NM Joshi Marg, near Bawla Masjid Building, Lower Parel, Mumbai, Maharashtra 400013",mumbai,gym,0
The Body Project Gym The Transforming Gym In Sion,9967626765,"
Unit No. 19, Shivaji CHS, NS Mankikar Rd, near Sion Talao, next to Krystal Security Office, Vrindavan, Chunabhatti, Sion, Mumbai, Maharashtra 400022",mumbai,gym,0
Hardcore Gym,9930595948,"
Khar, Jai Hind Nagar, Jawahar Nagar, Khar East, Mumbai, Maharashtra 400051",mumbai,gym,0
The Muscle Cage - Gym Fitness Centre,9867011719,"
General Arun Kumar Vaidya Marg, opp. Agarwal Diagnostic Centre, Malad, Goregaon East, Mumbai, Maharashtra 400097",mumbai,gym,0
Fusion Gym,9749786786,"
5th Floor, F Wing, Kanakia Zillion, Fusion gym, 527, Lal Bahadur Shastri Marg, Kurla, Mumbai, Maharashtra 400070",mumbai,gym,0
Sykz Gym,8850743716,"
Samarth Vaibhav, 201-214, Off New Link Rd, Tarapore Gardens, Oshiwara, Andheri West, Mumbai, Maharashtra 400053",mumbai,gym,0
G -Force Fitness Gym Personal Certification,8692034433,"
MVM school, Landmark, sanskar dayitva Krantijyoti savitribhai phule udhyan opposite Bhairav, Veera Desai Rd, Andheri West, Mumbai, Maharashtra 400058",mumbai,gym,0
Fitness Legacy Best Gym In Chakala,9664444953,"
Ground Floor, Bajsons Estate, CG Road, opposite Hotel Samraj Building, Kajuwadi, Chakala, Andheri East, Mumbai, Maharashtra 400099",mumbai,gym,0
Smartflex Fitness,9769397824,"
2nd Floor, TPS, 3, Taikalwadi Marg, above Starcity Cinema, Mainak Wadi, Joshi Vadi, Mahim, Mumbai, Maharashtra 400016",mumbai,gym,0
Carewell Fitness - The Gym,9372039515,"
Studio, CTS 43, 1st Floor, Chandivali Farm Rd, opposite Raheja Vihar Road, near Chandivali, Chandivali, Andheri East, Mumbai, Maharashtra 400072",mumbai,gym,0
Iron Universal Gym,9967132968,"
D'Cunha House, 53, Anandilal P Marg, West, Mahalakshmi, Mumbai, Maharashtra 400011",mumbai,gym,0
Flex Iron Gym,9967596672,"
1st Floor, Flex Iron Gym, Shahid Mangal Pandey Rd, above ZERO DEGREE AUTO - Car AC Service, opposite Riddhi Siddhi Complex, Louis Wadi, Thane West, Mumbai, Thane, Maharashtra 400604",mumbai,gym,0
E Gym Ijmima Malad,7685999444,"
Ijmima Complex, infinity 2, West, opp. sony airtel, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064",mumbai,gym,0
To The Core Fitness,9820311464,"
Shop No 2, Ground floor, Hira Cottage Building, Raja Ram Mohan Roy Rd, opp. Cama Baug, near Reliance Hospital, Charni Road, Grant Road East, Shapur Baug, Grant Road, Mumbai, Maharashtra 400004",mumbai,gym,0
Fitness Shrine Gym,9819505177,"
Lower Ground 01, Kalina Kurla Rd, below Trinity Travels, Jamlipada, Kunchi Kurve Nagar, Kalina, Santacruz East, Mumbai, Maharashtra 400029",mumbai,gym,0
Inch Pinch Fitness Gym,9820009642,"
2nd Floor, Shubhankar Soceity, Subhash Rd, Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",mumbai,gym,0
Be Beast - Lodha 24X7 Much More Than A Gym,6366903902,"
Be Beast Gym, Sitaram Mill Compound, Delisle Rd, opposite to Lodha Excelus, Shastri Nagar, Adarsh Nagar, Parel, Mumbai, Maharashtra 400011",mumbai,gym,0
Physio Active Pro Fitness Gym,9143438383,"
265/267, Raja Ram Mohan Roy Rd, Charni Road, Opera House, Girgaon, Mumbai, Maharashtra 400004",mumbai,gym,0
Tribe Fitness Gymcardiosteam & Functional Training,9321679162,"
Gala No. 16, Ground Floor, Aram Nagar Part 1, J P Road Opposite Machhimar Bus Stop, Near Hakim's Alim Salon 7 Bungalow, Versova, Andheri West, Mumbai, Maharashtra 400058",mumbai,gym,0
