name,phone,address,rating,website,google_maps_url,city,business_type,contacted
Fitness Heroes The Gym,9867719359,"
22 H G Nesbit Compound, Nesbit Rd, next to MCdonald, opp. SBI Bank, Tarwadi, Hathibaug, Mazgaon, Mumbai, Maharashtra 400010",,None,"https://www.google.com/maps/place/Fitness+Heroes+The+Gym/@19.1028785,72.6949908,12z/data=!4m11!1m3!2m2!1sgym+in+mumbai!6e1!3m6!1s0x3be7cf4962ed4385:0x657cf5693446bb87!8m2!3d18.969491!4d72.8390521!15sCg1neW0gaW4gbXVtYmFpWg8iDWd5bSBpbiBtdW1iYWmSAQNneW3gAQA!16s%2Fg%2F11jszsb5_1?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",mumbai,gym,0
Xff Gym,8433605511,"
Maulana Azad Rd, Two Tanks, Nagpada, Mumbai, Maharashtra 400008",,None,"https://www.google.com/maps/place/XFF+GYM/@19.1028785,72.6949908,12z/data=!4m11!1m3!2m2!1sgym+in+mumbai!6e1!3m6!1s0x3be7ce14efbd147f:0xd39c6da8336c311a!8m2!3d18.9644379!4d72.8288543!15sCg1neW0gaW4gbXVtYmFpWg8iDWd5bSBpbiBtdW1iYWmSAQNneW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlNiVGhmZUY5UlJSQULgAQD6AQQILRA2!16s%2Fg%2F11g8_0m8sy?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",mumbai,gym,0
I Think Fitness,7718033300,"
4th Floor, St. Paul Media Complex, 24th, Turner Rd, opp. Duruelo Convent High School, Bandra West, Mumbai, Maharashtra 400050",,"Social only: 
facebook.com","https://www.google.com/maps/place/I+Think+Fitness/@19.1028785,72.6949908,12z/data=!4m11!1m3!2m2!1sgym+in+mumbai!6e1!3m6!1s0x3be7c91436fe8463:0x3c6b112a258ea7fb!8m2!3d19.0611149!4d72.8323465!15sCg1neW0gaW4gbXVtYmFpWg8iDWd5bSBpbiBtdW1iYWmSAQNneW2aASRDaGREU1VoTk1HOW5TMFZLZFdNeU9HcGZNVTV5VVhkUlJSQULgAQD6AQQIABBC!16s%2Fg%2F11b69vppsb?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",mumbai,gym,0
Mumbai Fitness Club,9769000705,"
Ground Floor, Abhilasha Shramik Co-operative Housing Society, near Kingstone Tower, Cotton Green Zakaria B, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400033",,None,"https://www.google.com/maps/place/Mumbai+Fitness+Club/@19.1028785,72.6949908,12z/data=!4m11!1m3!2m2!1sgym+in+mumbai!6e1!3m6!1s0x3be7cefed353509b:0xcc9a831272eed923!8m2!3d18.9934627!4d72.8457784!15sCg1neW0gaW4gbXVtYmFpWg8iDWd5bSBpbiBtdW1iYWmSAQNneW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTktjazUxY2s5bkVBReABAPoBBAgAECo!16s%2Fg%2F1q6b0mn4r?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",mumbai,gym,0
Power Factory Fitness Centre,9594389733,"
Plot no 53 sai krupa, tarun bharat, near Oriental hotel, chs, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",,"Social only: 
instagram.com","https://www.google.com/maps/place/Power+Factory+Fitness+Centre/@19.1028785,72.6949908,12z/data=!4m11!1m3!2m2!1sgym+in+mumbai!6e1!3m6!1s0x3be7c95fadd1cd6b:0x39bb7b6040eec6cc!8m2!3d19.1082009!4d72.8626978!15sCg1neW0gaW4gbXVtYmFpWg8iDWd5bSBpbiBtdW1iYWmSAQNneW3gAQA!16s%2Fg%2F11lkhzw5xt?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",mumbai,gym,0
Goodlife Fitness,7208686233,"
Shop no 7, C Wing, Atul, Military Rd, Sankara Nagar, Marol, Andheri East, Mumbai, Maharashtra 400059",,"Social only: 
instagram.com","https://www.google.com/maps/place/GOODLIFE+FITNESS/@18.9560277,72.6681526,12z/data=!4m11!1m3!2m2!1sgym+in+mumbai!6e1!3m6!1s0x3be7c92416238b05:0x7af4ad89840d486f!8m2!3d19.1172693!4d72.8838486!15sCg1neW0gaW4gbXVtYmFpWg8iDWd5bSBpbiBtdW1iYWmSAQNneW2aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBvV21OSGIzbGtSbFpVWVRKd01tTnJWazlhVlVwdlpVaHJkMDFWUlJBQuABAPoBBAhzEEY!16s%2Fg%2F11l98r4367?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",mumbai,gym,0
Ultimate Fitness Gym,7977271602,"
S.R.A, Bindra Complex, A/14 Ground Floor Sai Ganesh society, Mahakali Caves Rd, behind Ginger Hotel, Andheri East, Mumbai, Maharashtra 400093",,None,"https://www.google.com/maps/place/Ultimate+Fitness+Gym/@19.1172693,72.739653,12z/data=!4m11!1m3!2m2!1sgym+in+mumbai!6e1!3m6!1s0x3be7c9698930374f:0x3806f0717b69a67f!8m2!3d19.1273357!4d72.8686142!15sCg1neW0gaW4gbXVtYmFpWg8iDWd5bSBpbiBtdW1iYWmSAQNneW3gAQA!16s%2Fg%2F11h3dggb4k?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",mumbai,gym,0
Fitness Factory Andheribest Gym In Andheri,9619615000,"
4th Floor, Idea Square, above Kalyan Jewellers, opp. Citi Mall, Lokhandwala Complex, Andheri West, Andheri, Mumbai, Maharashtra 400053",,None,"https://www.google.com/maps/place/Fitness+Factory+Andheri%2FBest+gym+in+Andheri/@19.1172693,72.739653,12z/data=!3m1!5s0x3be7b6234b133a61:0xcea8573786c7100b!4m11!1m3!2m2!1sgym+in+mumbai!6e1!3m6!1s0x3be7b769baa9d761:0x504b5a20fb2cf18f!8m2!3d19.1389277!4d72.8325771!15sCg1neW0gaW4gbXVtYmFpWg8iDWd5bSBpbiBtdW1iYWmSAQNneW3gAQA!16s%2Fg%2F11fqddwp1j?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",mumbai,gym,0
Hardcore Gym,9930595948,"
Khar, Jai Hind Nagar, Jawahar Nagar, Khar East, Mumbai, Maharashtra 400051",,None,"https://www.google.com/maps/place/hardcore+gym/@19.1172693,72.739653,12z/data=!4m11!1m3!2m2!1sgym+in+mumbai!6e1!3m6!1s0x3be7c9191a1c3143:0x3126175f250dc290!8m2!3d19.0703847!4d72.8463579!15sCg1neW0gaW4gbXVtYmFpWg8iDWd5bSBpbiBtdW1iYWmSAQNneW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkNiblpMTkhKblJSQULgAQD6AQQIABBD!16s%2Fg%2F11j54145hw?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",mumbai,gym,0
Fitness & Conditioning Club Fc2 Gym,9930556987,"
Shop no - 02, Gamdevi Rd, Gamdevi, Mumbai, Maharashtra 400007",,None,"https://www.google.com/maps/place/Fitness+%26+Conditioning+Club+(FC%C2%B2+Gym)/@18.9644379,72.6846587,12z/data=!4m11!1m3!2m2!1sgym+in+mumbai!6e1!3m6!1s0x3be7ce0c2e2c365d:0x9a6d6a94d2daf6a1!8m2!3d18.9586991!4d72.8127046!15sCg1neW0gaW4gbXVtYmFpWg8iDWd5bSBpbiBtdW1iYWmSAQNneW3gAQA!16s%2Fg%2F11g6htws13?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",mumbai,gym,0
