name,category,phone,address,rating,website,google_maps_url
Open House Cafe,cafe,+919609601818,"
Third Floor, Infinity Square, Sevoke Rd, Ward 43, Siliguri, West Bengal 734001",,None,"https://www.google.com/maps/place/Open+House+Cafe/@26.7411512,88.363086,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e440fdff44ed93:0x6759d9d71a0631ed!8m2!3d26.7411512!4d88.4351838!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQNwdWLgAQA!16s%2Fg%2F11clvd1bcm?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Three Kins Cafe Siliguri,cafe,+919907288194,"
opposite of mini mart, Devidanga, Siliguri, Kalabari, West Bengal 734003",,"Social only: 
instagram.com","https://www.google.com/maps/place/Three+Kins+Cafe+Siliguri/@26.749314,88.3217509,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e44160f8799c31:0x313726e469d379b9!8m2!3d26.767536!4d88.4182839!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11m65gzjc7?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
King's Savor Coffee and More,cafe,+919093035057,"
City Center, Ujanu P, Siliguri, West Bengal 734010",,None,"https://www.google.com/maps/place/King's+Savor+Coffee+and+More/@26.7247027,88.3229971,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e446cee920d92d:0x6ef4e863b3914118!8m2!3d26.7247027!4d88.3950949!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11g9f011r_?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Bake Walk- cafe and patisserie,cafe,+918371897955,"
Planet Mall, Sevoke Rd, Siliguri, West Bengal 734001",,"Social only: 
instagram.com","https://www.google.com/maps/place/Bake+Walk-+cafe+and+patisserie/@26.7393503,88.3633914,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e4417e2f8f51f9:0x296c375a9507bd4b!8m2!3d26.7393503!4d88.4354892!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQljYWtlX3Nob3DgAQA!16s%2Fg%2F11hzzfnyr9?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
The Dog Villa Café || BEST PET FRIENDLY CAFE || BEST PARTY PLACE || BEST CAFE || IN SILIGURI,cafe,+913532535333,"
Bidhan Rd, near Maa Bhavani Kali Mandir, Ward 12, Hakim Para, Siliguri, West Bengal 734001",,None,"https://www.google.com/maps/place/The+Dog+Villa+Caf%C3%A9+%7C%7C+BEST+PET+FRIENDLY+CAFE+%7C%7C+BEST+PARTY+PLACE+%7C%7C+BEST+CAFE+%7C%7C+IN+SILIGURI/@26.7393503,88.3633914,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e441d69c38b727:0x901ef8019f2d5f23!8m2!3d26.716724!4d88.4265658!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11kkz4lhpy?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
DAKINI CAFE,cafe,+919832504696,"
BSF Rd, Ward 42, Salugara, Siliguri, West Bengal 734008",,None,"https://www.google.com/maps/place/DAKINI+CAFE/@26.7393503,88.3633914,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e4415a41cc69bb:0xc329309b3ed67547!8m2!3d26.7676619!4d88.4464179!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11qm2j0m0x?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
The Vintage Vibes,cafe,+917908682674,"
Plot No. 464, Sarat Chandra Bose St, behind Matri Sadan Hospital, Ward 23, Dabgram, Siliguri, West Bengal 734006",,None,"https://www.google.com/maps/place/The+Vintage+Vibes/@26.7393503,88.3633914,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e441e6e324e57d:0x81d7e63f051a882b!8m2!3d26.7021827!4d88.4401888!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11rmr6xkd0?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Home Cafe,cafe,+917908173357,"
Unnamed Road, Panchanai, West Bengal 734002",,None,"https://www.google.com/maps/place/Home+Cafe/@26.7698659,88.3055595,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e447d878cf7bf9:0x27f5eb3f7e1e3846!8m2!3d26.7698659!4d88.3776573!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11fn7kkj5j?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Barista Siliguri,cafe,+917407831085,"
Unit no A0007 Ground Floor, city centre , Uttorayon, Matigara, siliguri, Siliguri, West Bengal 734010",,None,"https://www.google.com/maps/place/Barista+Siliguri/@26.7698659,88.3055595,13z/data=!3m1!5s0x39e446cee084ee4d:0xc743fe2ebe48e095!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e44791e584eea3:0xf1b4b52259c7efc6!8m2!3d26.7248549!4d88.3945218!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11v0wwb_vf?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Berlin Coffeehouse manue,cafe,+919800045601,"
Ujanu P, Siliguri, West Bengal 734010",,None,"https://www.google.com/maps/place/Berlin+Coffeehouse+manue/@26.7250687,88.3223723,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e447a2d012cc73:0x22f450daed6c5966!8m2!3d26.7250687!4d88.3944701!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11j2vc7f67?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
