name,phone,address,city,business_type,contacted
Open House Cafe,9609601818,"
Third Floor, Infinity Square, Sevoke Rd, Ward 43, Siliguri, West Bengal 734001",siliguri,cafe,0
Three Kins Cafe Siliguri,9907288194,"
opposite of mini mart, Devidanga, Siliguri, Kalabari, West Bengal 734003",siliguri,cafe,0
The Vintage Vibes,7908682674,"
Plot No. 464, Sarat Chandra Bose St, behind Matri Sadan Hospital, Ward 23, Dabgram, Siliguri, West Bengal 734006",siliguri,cafe,0
Barista Siliguri,7407831085,"
Unit no A0007 Ground Floor, city centre , Uttorayon, Matigara, siliguri, Siliguri, West Bengal 734010",siliguri,cafe,0
King'S Savor Coffee And More,9093035057,"
City Center, Ujanu P, Siliguri, West Bengal 734010",siliguri,cafe,0
The Dog Villa Cafe Best Pet Friendly Cafe Best Party Place Best Cafe In Siliguri,3532535333,"
Bidhan Rd, near Maa Bhavani Kali Mandir, Ward 12, Hakim Para, Siliguri, West Bengal 734001",siliguri,cafe,0
Bake Walk- Cafe And Patisserie,8371897955,"
Planet Mall, Sevoke Rd, Siliguri, West Bengal 734001",siliguri,cafe,0
Home Cafe,7908173357,"
Unnamed Road, Panchanai, West Bengal 734002",siliguri,cafe,0
Backyard Bistro Hakimpara,8101867767,"
Sarkar Villa, 20, Birendra Krishna Bhadra Sarani, near CBI office, College Para, Hakim Para, Siliguri, West Bengal 734001",siliguri,cafe,0
Dakini Cafe,9832504696,"
BSF Rd, Ward 42, Salugara, Siliguri, West Bengal 734008",siliguri,cafe,0
Berlin Coffeehouse Manue,9800045601,"
Ujanu P, Siliguri, West Bengal 734010",siliguri,cafe,0
Nest Coffee Lounge,9832011910,"
12, Nandalal Basu Sarani college para near Basu 's clinic And Darjeeling railway station Siliguri and, West Bengal 734001",siliguri,cafe,0
Marivana Cafe,9641962491,"
Ward No 3, Marivana Cafe, Patel Road, Ward 3, Pradhan Nagar, Siliguri, West Bengal 734003",siliguri,cafe,0
Artoli Coffee & Eatery,9875452633,"
24/1, Gaushala Road, Ward 26, Babupara, Siliguri, West Bengal 734005",siliguri,cafe,0
Siliguri'S Chai Addaa,7585877937,"
Champasari Rd, Indrapally, Champasari, Siliguri, West Bengal 734003",siliguri,cafe,0
Cafe Adda,9933119999,"
Chekpost Traffic Point, Sevoke Rd, Ward 42, Don Bosco Colony, Siliguri, West Bengal 734001",siliguri,cafe,0
Warm Cup,9547339096,"
N.B, M.C&H, Sushruta Nagar, Thiknikata, Siliguri, West Bengal 734012",siliguri,cafe,0
Marvel Cafe,3533583165,"
Sevoke Rd, Shastri Nagar, iti more, Bankim Nagar, Siliguri, West Bengal 734001",siliguri,cafe,0
Gunpowder Kitchen & Cafe,8637374909,"
4th floor, ML Acropolis Mall, Sevoke Rd, opp. Anandaloke Hospital, Ward Number 13, Bankim Nagar, Siliguri, West Bengal 734001",siliguri,cafe,0
