sno,cafe_name,phone,link,sent
1,Open House Cafe,919609601818,https://web.whatsapp.com/send?phone=919609601818&text=Hello%20Sir/Ma%27am%2C%0A%0AI%20came%20across%20%2AOpen%20House%20Cafe%2A%20and%20really%20liked%20your%20place%2C%20so%20I%20took%20a%20few%20minutes%20to%20create%20a%20sample%20website%20for%20you%20to%20see%20how%20it%20could%20look%20on%20Google.%0A%0AHere%27s%20the%20preview%3A%0Ahttps%3A//ramesh-iitkgp.github.io/open-house-cafe/%0A%0ANo%0A%0AThis%20can%20help%20more%20people%20discover%20your%20cafe%20directly%20online%20instead%20of%20relying%20only%20on%20Zomato/Swiggy.%0A%0AIf%20you%20feel%20this%20is%20useful%2C%20I%20can%20set%20it%20up%20properly%20for%20you%20with%20your%20actual%20photos%20and%20details%20at%20a%20reasonable%20cost.%0A%0ANo%20rush%20%E2%80%94%20just%20thought%20this%20might%20genuinely%20help%20your%20business%20grow%20%F0%9F%99%82%0A%0ARegards%0ARamesh,No
2,Three Kins Cafe Siliguri,919907288194,https://web.whatsapp.com/send?phone=919907288194&text=Hello%20Sir/Ma%27am%2C%0A%0AI%20came%20across%20%2AThree%20Kins%20Cafe%20Siliguri%2A%20and%20really%20liked%20your%20place%2C%20so%20I%20took%20a%20few%20minutes%20to%20create%20a%20sample%20website%20for%20you%20to%20see%20how%20it%20could%20look%20on%20Google.%0A%0AHere%27s%20the%20preview%3A%0Ahttps%3A//ramesh-iitkgp.github.io/three-kins-cafe-siliguri/%0A%0ANo%0A%0AThis%20can%20help%20more%20people%20discover%20your%20cafe%20directly%20online%20instead%20of%20relying%20only%20on%20Zomato/Swiggy.%0A%0AIf%20you%20feel%20this%20is%20useful%2C%20I%20can%20set%20it%20up%20properly%20for%20you%20with%20your%20actual%20photos%20and%20details%20at%20a%20reasonable%20cost.%0A%0ANo%20rush%20%E2%80%94%20just%20thought%20this%20might%20genuinely%20help%20your%20business%20grow%20%F0%9F%99%82%0A%0ARegards%0ARamesh,No
3,King's Savor Coffee and More,919093035057,https://web.whatsapp.com/send?phone=919093035057&text=Hello%20Sir/Ma%27am%2C%0A%0AI%20came%20across%20%2AKing%27s%20Savor%20Coffee%20and%20More%2A%20and%20really%20liked%20your%20place%2C%20so%20I%20took%20a%20few%20minutes%20to%20create%20a%20sample%20website%20for%20you%20to%20see%20how%20it%20could%20look%20on%20Google.%0A%0AHere%27s%20the%20preview%3A%0Ahttps%3A//ramesh-iitkgp.github.io/kings-savor-coffee-2/%0A%0ANo%0A%0AThis%20can%20help%20more%20people%20discover%20your%20cafe%20directly%20online%20instead%20of%20relying%20only%20on%20Zomato/Swiggy.%0A%0AIf%20you%20feel%20this%20is%20useful%2C%20I%20can%20set%20it%20up%20properly%20for%20you%20with%20your%20actual%20photos%20and%20details%20at%20a%20reasonable%20cost.%0A%0ANo%20rush%20%E2%80%94%20just%20thought%20this%20might%20genuinely%20help%20your%20business%20grow%20%F0%9F%99%82%0A%0ARegards%0ARamesh,No
4,Bake Walk- cafe and patisserie,918371897955,https://web.whatsapp.com/send?phone=918371897955&text=Hello%20Sir/Ma%27am%2C%0A%0AI%20came%20across%20%2ABake%20Walk-%20cafe%20and%20patisserie%2A%20and%20really%20liked%20your%20place%2C%20so%20I%20took%20a%20few%20minutes%20to%20create%20a%20sample%20website%20for%20you%20to%20see%20how%20it%20could%20look%20on%20Google.%0A%0AHere%27s%20the%20preview%3A%0A%0ANo%0A%0AThis%20can%20help%20more%20people%20discover%20your%20cafe%20directly%20online%20instead%20of%20relying%20only%20on%20Zomato/Swiggy.%0A%0AIf%20you%20feel%20this%20is%20useful%2C%20I%20can%20set%20it%20up%20properly%20for%20you%20with%20your%20actual%20photos%20and%20details%20at%20a%20reasonable%20cost.%0A%0ANo%20rush%20%E2%80%94%20just%20thought%20this%20might%20genuinely%20help%20your%20business%20grow%20%F0%9F%99%82%0A%0ARegards%0ARamesh%0Ahttps%3A//ramesh-iitkgp.github.io/bake-walk-cafe-and-patisserie/,No
5,The Dog Villa Café || BEST PET FRIENDLY CAFE || BEST PARTY PLACE || BEST CAFE || IN SILIGURI,913532535333,https://web.whatsapp.com/send?phone=913532535333&text=Hello%20Sir/Ma%27am%2C%0A%0AI%20came%20across%20%2AThe%20Dog%20Villa%20Caf%C3%A9%20%7C%7C%20BEST%20PET%20FRIENDLY%20CAFE%20%7C%7C%20BEST%20PARTY%20PLACE%20%7C%7C%20BEST%20CAFE%20%7C%7C%20IN%20SILIGURI%2A%20and%20really%20liked%20your%20place%2C%20so%20I%20took%20a%20few%20minutes%20to%20create%20a%20sample%20website%20for%20you%20to%20see%20how%20it%20could%20look%20on%20Google.%0A%0AHere%27s%20the%20preview%3A%0Ahttps%3A//ramesh-iitkgp.github.io/dog-villa-cafe-2/%0A%0ANo%0A%0AThis%20can%20help%20more%20people%20discover%20your%20cafe%20directly%20online%20instead%20of%20relying%20only%20on%20Zomato/Swiggy.%0A%0AIf%20you%20feel%20this%20is%20useful%2C%20I%20can%20set%20it%20up%20properly%20for%20you%20with%20your%20actual%20photos%20and%20details%20at%20a%20reasonable%20cost.%0A%0ANo%20rush%20%E2%80%94%20just%20thought%20this%20might%20genuinely%20help%20your%20business%20grow%20%F0%9F%99%82%0A%0ARegards%0ARamesh,No
6,DAKINI CAFE,919832504696,https://web.whatsapp.com/send?phone=919832504696&text=Hello%20Sir/Ma%27am%2C%0A%0AI%20came%20across%20%2ADAKINI%20CAFE%2A%20and%20really%20liked%20your%20place%2C%20so%20I%20took%20a%20few%20minutes%20to%20create%20a%20sample%20website%20for%20you%20to%20see%20how%20it%20could%20look%20on%20Google.%0A%0AHere%27s%20the%20preview%3A%0Ahttps%3A//ramesh-iitkgp.github.io/dakini-cafe/%0A%0ANo%0A%0AThis%20can%20help%20more%20people%20discover%20your%20cafe%20directly%20online%20instead%20of%20relying%20only%20on%20Zomato/Swiggy.%0A%0AIf%20you%20feel%20this%20is%20useful%2C%20I%20can%20set%20it%20up%20properly%20for%20you%20with%20your%20actual%20photos%20and%20details%20at%20a%20reasonable%20cost.%0A%0ANo%20rush%20%E2%80%94%20just%20thought%20this%20might%20genuinely%20help%20your%20business%20grow%20%F0%9F%99%82%0A%0ARegards%0ARamesh,No
7,The Vintage Vibes,917908682674,https://web.whatsapp.com/send?phone=917908682674&text=Hello%20Sir/Ma%27am%2C%0A%0AI%20came%20across%20%2AThe%20Vintage%20Vibes%2A%20and%20really%20liked%20your%20place%2C%20so%20I%20took%20a%20few%20minutes%20to%20create%20a%20sample%20website%20for%20you%20to%20see%20how%20it%20could%20look%20on%20Google.%0A%0AHere%27s%20the%20preview%3A%0Ahttps%3A//ramesh-iitkgp.github.io/the-vintage-vibes/%0A%0ANo%0A%0AThis%20can%20help%20more%20people%20discover%20your%20cafe%20directly%20online%20instead%20of%20relying%20only%20on%20Zomato/Swiggy.%0A%0AIf%20you%20feel%20this%20is%20useful%2C%20I%20can%20set%20it%20up%20properly%20for%20you%20with%20your%20actual%20photos%20and%20details%20at%20a%20reasonable%20cost.%0A%0ANo%20rush%20%E2%80%94%20just%20thought%20this%20might%20genuinely%20help%20your%20business%20grow%20%F0%9F%99%82%0A%0ARegards%0ARamesh,No
8,Home Cafe,917908173357,https://web.whatsapp.com/send?phone=917908173357&text=Hello%20Sir/Ma%27am%2C%0A%0AI%20came%20across%20%2AHome%20Cafe%2A%20and%20really%20liked%20your%20place%2C%20so%20I%20took%20a%20few%20minutes%20to%20create%20a%20sample%20website%20for%20you%20to%20see%20how%20it%20could%20look%20on%20Google.%0A%0AHere%27s%20the%20preview%3A%0Ahttps%3A//ramesh-iitkgp.github.io/home-cafe/%0A%0ANo%0A%0AThis%20can%20help%20more%20people%20discover%20your%20cafe%20directly%20online%20instead%20of%20relying%20only%20on%20Zomato/Swiggy.%0A%0AIf%20you%20feel%20this%20is%20useful%2C%20I%20can%20set%20it%20up%20properly%20for%20you%20with%20your%20actual%20photos%20and%20details%20at%20a%20reasonable%20cost.%0A%0ANo%20rush%20%E2%80%94%20just%20thought%20this%20might%20genuinely%20help%20your%20business%20grow%20%F0%9F%99%82%0A%0ARegards%0ARamesh,No
9,Barista Siliguri,917407831085,https://web.whatsapp.com/send?phone=917407831085&text=Hello%20Sir/Ma%27am%2C%0A%0AI%20came%20across%20%2ABarista%20Siliguri%2A%20and%20really%20liked%20your%20place%2C%20so%20I%20took%20a%20few%20minutes%20to%20create%20a%20sample%20website%20for%20you%20to%20see%20how%20it%20could%20look%20on%20Google.%0A%0AHere%27s%20the%20preview%3A%0Ahttps%3A//ramesh-iitkgp.github.io/barista-siliguri/%0A%0ANo%0A%0AThis%20can%20help%20more%20people%20discover%20your%20cafe%20directly%20online%20instead%20of%20relying%20only%20on%20Zomato/Swiggy.%0A%0AIf%20you%20feel%20this%20is%20useful%2C%20I%20can%20set%20it%20up%20properly%20for%20you%20with%20your%20actual%20photos%20and%20details%20at%20a%20reasonable%20cost.%0A%0ANo%20rush%20%E2%80%94%20just%20thought%20this%20might%20genuinely%20help%20your%20business%20grow%20%F0%9F%99%82%0A%0ARegards%0ARamesh,No
10,Berlin Coffeehouse manue,919800045601,https://web.whatsapp.com/send?phone=919800045601&text=Hello%20Sir/Ma%27am%2C%0A%0AI%20came%20across%20%2ABerlin%20Coffeehouse%20manue%2A%20and%20really%20liked%20your%20place%2C%20so%20I%20took%20a%20few%20minutes%20to%20create%20a%20sample%20website%20for%20you%20to%20see%20how%20it%20could%20look%20on%20Google.%0A%0AHere%27s%20the%20preview%3A%0Ahttps%3A//ramesh-iitkgp.github.io/berlin-coffeehouse-manue/%0A%0ANo%0A%0AThis%20can%20help%20more%20people%20discover%20your%20cafe%20directly%20online%20instead%20of%20relying%20only%20on%20Zomato/Swiggy.%0A%0AIf%20you%20feel%20this%20is%20useful%2C%20I%20can%20set%20it%20up%20properly%20for%20you%20with%20your%20actual%20photos%20and%20details%20at%20a%20reasonable%20cost.%0A%0ANo%20rush%20%E2%80%94%20just%20thought%20this%20might%20genuinely%20help%20your%20business%20grow%20%F0%9F%99%82%0A%0ARegards%0ARamesh,No
